feasible,figure_of_merit,noise_reduction_dB,blade_mass_g,on_front,chord_root_m,chord_tip_m,twist_root_deg,twist_tip_deg,tubercle_amp_m,tubercle_wl_m,n_blades,prop_radius_m,hub_radius_m,hub_height_m,shaft_hole_r_m,thickness_ratio,rpm,total_thrust_N,total_torque_Nm,rho_air
True,0.80913,1.91,19.9057,False,0.026267758127487748,0.013273310954787345,38.33020722791059,16.182691633905602,0.004040457925783314,0.030082129004572418,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81268,1.44,13.3489,False,0.025793790391133352,0.0113360829949952,31.54115392000265,7.961641308331368,0.002843533020567243,0.05342655551029353,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83681,1.05,22.9738,False,0.02685296237439871,0.006419623546447111,41.70738268864547,9.460416436805586,0.0018067374613950755,0.048445117337157305,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.71686,2.97,6.1668,False,0.02,0.011277191008181453,33.09071576971633,14.8329107779646,0.005,0.049369427716654826,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82552,2.1,17.107,False,0.02321709267451988,0.009150539177345329,25.210632697582735,12.350331554843319,0.00359128186717549,0.036755668217597556,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82605,2.97,13.6659,True,0.02,0.006,35.97288866867602,13.46102307814625,0.004036477292191361,0.0444357225357483,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83604,1.89,23.5904,False,0.026986382812334883,0.006843218344144286,28.978140990790997,8.559052088785894,0.003321548385803218,0.03572799868076306,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.848,1.74,31.2422,True,0.02974829866632247,0.009770863248006051,38.939397646383014,16.996443149612475,0.003617534844574676,0.03634639468492713,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.7229,3.03,7.3689,False,0.020859400336233697,0.006101226580607738,42.89941603255928,11.705912650972088,0.004265615844264417,0.04674360021712493,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83995,0.82,23.4698,False,0.02567534569373122,0.012686092143101495,32.274592583900805,15.587749519224325,0.001686069044507531,0.031980229041619034,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82929,2.56,16.5457,False,0.02502828960591815,0.010722824862280968,36.194996227054915,9.49590273304935,0.004867201036683077,0.029348888499007283,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82702,0.11,16.3787,False,0.02290066096546866,0.013171960978650426,29.9208743019082,9.89655893062892,0.0002127624678961246,0.04253047548666411,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.75188,1.35,8.8897,False,0.028702688577893973,0.007261994797336335,26.4403608445251,14.476169901374588,0.002521396176409683,0.0503380257338247,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82139,1.0,20.4649,False,0.03363713392484559,0.011758556376927574,33.07322344217716,7.4849711688665295,0.0023967942284406274,0.05610234714497997,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77989,0.41,26.8227,False,0.030858868947133487,0.008970097251288419,40.89363037408401,19.695583234890297,0.0008538228868443525,0.023977609797576346,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.7322,2.49,6.6873,False,0.02236253531491258,0.009822833186090405,31.975697683396444,13.823488501294088,0.0042579194679748565,0.04110477933683873,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77707,1.13,12.2117,False,0.029654382420208642,0.014,32.024976981813644,13.088489258648988,0.002624796454080954,0.02719918132831277,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.8301,1.46,17.7071,False,0.022125823507877933,0.011238672343913913,37.093871523034814,14.294848577972123,0.0026115989929953627,0.026221987096155794,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82617,0.68,22.2346,False,0.028860047565803786,0.007037344720349049,36.8816636464841,6.0,0.0012722184195699412,0.0424357521598394,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83275,0.9,19.8882,False,0.027685586496491277,0.0114334147070308,36.65838897034045,11.084603137891628,0.0018617366409540656,0.03128498189409123,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.73253,1.64,8.0857,False,0.021981828542701847,0.014,25.0,18.23012580733708,0.0031915601857641714,0.02,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.71424,3.22,7.3689,False,0.020859400336233697,0.006101226580607738,45.0,11.705912650972088,0.004537355789601993,0.05040657532964419,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82603,2.04,24.5399,False,0.02816709014709552,0.006,45.0,6.593933761310385,0.003594861998764981,0.06,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
